Color,Emotion,Audience Retention (A),Audience Retention (B),Audience Retention (C),Audience Retention (D),Audience Retention (E),Audience Retention (F),Sentiment Score,Emotion Score
BRIGHT_GREEN (4),disgust,76.6,75.45,76.3,71.65,75.76,73.77,0.9922457337379456,0.4169337451457977
BRIGHT_GREEN (4),fear,65.54,60.75,64.86,62.35,65.25,63.43,0.5054922103881836,0.4204308688640594
BRIGHT_GREEN (4),neutral,68.345,65.645,68.315,66.215,67.36,64.575,0.7545080780982971,0.7847832143306732
BRIGHT_GREEN (4),sadness,67.1175,63.95,66.715,59.5025,66.255,63.495000000000005,0.9966359436511993,0.6068031117320061
PINK (5),fear,58.762,53.5,58.04,53.012,55.412,53.646,0.9766624927520752,0.5925360441207885
PINK (5),sadness,66.865,64.39,66.645,62.30500000000001,65.92500000000001,63.4,0.9811294078826904,0.8667809069156647
TURQUOISE (3),fear,51.88,46.28,51.53,46.43,48.17,47.31,0.9674519896507264,0.7454753518104553
TURQUOISE (3),neutral,62.45,57.87,61.84,58.42,61.94,58.28,0.8636334538459778,0.5315518379211426
YELLOW (7),anger,61.645,55.89,60.075,56.795,58.845,57.015,0.9862854480743408,0.6897568106651306
YELLOW (7),fear,75.74,75.21,74.64,71.94,73.62,72.22,0.948358118534088,0.9166021347045898
YELLOW (7),neutral,91.8,87.91,89.17,87.97,88.7,88.64,0.9668781757354736,0.3826319277286529
YELLOW (7),sadness,48.34,40.894999999999996,47.510000000000005,42.29,41.65,41.730000000000004,0.9945468008518219,0.6974430084228516
