Video position (%),Audience Retention (A),Audience Retention (B),Audience Retention (C),Audience Retention (D),Audience Retention (E),Audience Retention (F)
0,92.92,103.63,103.97,107.83,103.73,102.97
1,91.8,87.91,89.17,87.97,88.7,88.64
2,90.67,84.54,85.68,84.34,84.93,84.62
3,89.54,81.15,84.62,83.31,82.6,81.96
4,88.41,81.26,83.14,82.03,81.12,81.47
5,87.27,80,81.98,81.06,81.2,79.84
6,80.63,80.35,82.26,80.19,80.44,78.94
7,80.08,79.02,80.54,79.54,79.35,78.18
8,79.64,79.04,79.88,79.32,79.35,77.57
9,79.23,78.65,78.99,72.39,79.31,77.11
10,78.5,78.15,78.72,59.5,79.95,76.43
11,77.97,76.89,78.32,57.3,79,76.04
12,77.29,76.57,77.54,55.88,78.23,74.9
13,77.08,75.85,77.18,56.77,78.13,74.43
14,82.21,75.81,76.8,60.47,77.36,74.21
15,76.6,75.45,76.3,71.65,75.76,73.77
16,76.18,75.31,75.95,72.1,74.54,73.19
17,75.08,75.11,75.67,72.33,74.11,73.01
18,75.74,75.21,74.64,71.94,73.62,72.22
19,73.9,75.29,76.24,71.43,73.65,70.9
20,73.64,74.1,73.57,70.97,73.03,70.53
21,73.37,73.39,73.49,70.62,72.76,70.22
22,72.95,72.38,73.23,70.17,72.15,69.87
23,72.38,71.74,72.89,70.17,71.87,70.65
24,71.73,70.74,72.42,70.03,71.26,69.43
25,71.53,70.2,72.3,69.79,70.97,69.33
26,71.15,69.29,72.96,69.2,69.88,68.08
27,70.73,68.12,70.42,70.09,69.67,67.68
28,70.45,67.1,69.99,67.57,69.63,67.19
29,70.22,67.09,69.54,67.98,70.21,67.31
30,69.8,66.77,69.49,66.92,69.29,67.31
31,70.51,65.99,69.19,66.79,69.32,66.94
32,68.91,65.45,69.08,66.31,68.73,66.21
33,68.76,65.27,69.11,65.6,68.24,65.95
34,68.57,64.44,68.89,65.06,67.79,65.55
35,68,64.15,68.55,64.76,67.58,65.21
36,67.48,63.88,67.34,64.02,67.33,64.63
37,67.28,64.15,66.55,63.27,67.41,64.65
38,66.47,63.89,65.97,62.79,67.2,64.54
39,66.44,63.18,66,62.94,66.29,63.94
40,66.38,62.83,65.96,63.17,65.82,64.19
41,66.67,62.52,65.59,63.15,65.55,63.99
42,66.42,61.72,65.04,63.04,65.14,63.6
43,65.54,60.75,64.86,62.35,65.25,63.43
44,64.6,60.22,64.53,61.89,65.12,62.99
45,64.22,59.91,64.28,61.25,64.77,62.54
46,64.24,59.55,63.83,60.11,63.92,62.77
47,66.4,59.4,63.35,59.52,63.84,62.95
48,64.12,59.17,63.47,59.42,63.51,60.72
49,63.91,58.7,63.51,59.28,63.36,60.31
50,63.84,58.22,64.55,59.48,63.48,59.73
51,63.21,58.61,62.33,59.36,63.26,59.54
52,62.82,59.18,61.92,59.34,62.24,58.95
53,62.45,57.87,61.84,58.42,61.94,58.28
54,62.21,57.26,61.64,58.08,61.75,57.91
55,62.19,56.69,61.67,57.97,61.49,57.26
56,62.11,56.53,61.18,57.98,63.43,56.67
57,61.61,56.18,60.96,60.1,60.61,56.14
58,61.12,56.19,60.88,56.68,60.11,55.89
59,60.78,55.73,60.66,56.11,59.97,55.79
60,60.57,55.54,60.57,55.77,59.39,55.63
61,60.45,55.35,60.4,55.49,58.78,55.36
62,60.49,55.28,59.94,55.16,58.35,54.91
63,60.65,54.84,59.7,54.83,58.21,54.6
64,60.31,55,59.47,54.76,57.81,54.46
65,59.92,54.86,59.34,54.8,57.44,54.55
66,59.72,54.27,59.21,54.25,57.32,54.4
67,59.48,53.94,59.15,54.39,57.31,54.06
68,61.51,53.91,58.46,54.54,57.16,53.52
69,58.04,54,58.11,55.15,56.96,53.42
70,57.92,53.97,57.86,54.49,56.92,53.45
71,57.53,53.75,57.34,54.02,56.41,53.39
72,57.13,53.33,56.99,52.96,56.09,53.03
73,57.04,52.69,56.67,52.66,55.97,54.31
74,56.97,51.98,56.62,52.34,55.64,52.15
75,57.12,51.77,56.92,52.05,55.41,52.17
76,57.23,51.8,56.23,51.96,55.13,52.16
77,57.12,51.33,55.53,51.98,54.48,51.87
78,56.98,51.02,55.33,51.96,54.16,51.55
79,56.61,50.86,55.75,51.87,54.14,51.35
80,56.5,50.89,55.18,51.56,53.91,51.36
81,55.71,50.79,54.59,51.15,54.04,51.32
82,55.45,50.85,54.26,51.54,53.04,51.31
83,55.48,51.22,54.16,50.43,52.67,50.73
84,56.77,49.73,54.11,50.4,52.25,50.42
85,56.32,49.25,54.08,50.25,52.19,50.19
86,55.79,49.04,53.88,50.06,51.87,49.84
87,55.64,48.67,53.8,50.7,51.63,49.66
88,55.5,48.24,53.37,50.78,51.18,49.51
89,55.39,48.14,52.99,50.17,50.68,49.46
90,55.81,47.9,52.81,49.57,50.36,49.4
91,55.75,47.51,52.94,48.61,50.31,49.09
92,55.18,47.49,52.87,48.29,50.23,48.82
93,54.6,47.37,52.36,48,50.08,48.58
94,53.89,47.03,52.21,48.1,49.91,48.38
95,53.31,46.74,52.08,47.96,49.54,48.05
96,52.77,46.44,51.9,48.25,49.17,47.64
97,51.88,46.28,51.53,46.43,48.17,47.31
98,38.78,32.85,44.35,27.29,27.69,32.5
99,30.26,20.07,29.98,21.54,18.16,19.86
